Date,Open,High,Low,Close,Adj Close,Volume
2017-03-29,90.559998,90.870003,90.389999,90.599998,84.268166,4252800
2017-03-30,90.500000,90.570000,90.099998,90.199997,83.896126,3691900
2017-03-31,90.029999,90.339996,89.839996,89.849998,83.570580,6942400
2017-04-03,89.860001,90.059998,89.449997,89.680000,83.412460,6967400
2017-04-04,89.750000,89.959999,89.419998,89.910004,83.626389,5680800
2017-04-05,90.000000,90.500000,89.760002,89.970001,83.682198,6320100
2017-04-06,89.769997,89.809998,89.309998,89.400002,83.152031,7231500
2017-04-07,89.459999,89.610001,89.180000,89.230003,82.993919,4739100
2017-04-10,89.129997,89.680000,88.750000,89.489998,83.235748,5956000
2017-04-11,89.660004,89.820000,89.290001,89.800003,83.524078,5186000
2017-04-12,89.699997,90.419998,89.559998,90.309998,83.998436,6286300
2017-04-13,90.050003,90.540001,89.790001,90.029999,83.738007,5040100
2017-04-17,90.230003,90.589996,90.129997,90.389999,84.072853,6931700
2017-04-18,90.400002,91.129997,90.339996,90.800003,84.454185,7087800
2017-04-19,90.099998,90.449997,89.500000,89.599998,83.975838,6919000
2017-04-20,89.699997,89.699997,89.309998,89.330002,83.722778,6983500
2017-04-21,89.169998,89.279999,88.610001,88.620003,83.057343,9061200
2017-04-24,89.120003,89.660004,89.010002,89.550003,83.928970,8338500
2017-04-25,89.580002,90.250000,89.470001,90.000000,84.350716,9088400
2017-04-26,89.849998,90.000000,87.610001,87.739998,82.232582,11951300
2017-04-27,87.580002,88.239998,87.230003,87.690002,82.185715,8517500
2017-04-28,87.519997,87.589996,87.150002,87.330002,81.848320,8245400
2017-05-01,87.379997,87.599998,87.080002,87.089996,81.623375,4546600
2017-05-02,87.290001,87.290001,86.019997,86.220001,80.807983,13197500
2017-05-03,86.300003,86.629997,85.900002,86.430000,81.004822,6122000
2017-05-04,86.849998,87.239998,86.300003,86.449997,81.023537,5986200
2017-05-05,86.540001,86.610001,86.129997,86.500000,81.070419,4506200
2017-05-08,86.330002,86.620003,86.239998,86.550003,81.117279,4634600
2017-05-09,86.800003,86.820000,86.220001,86.400002,80.976685,9577600
2017-05-10,86.480003,86.790001,86.389999,86.489998,81.061043,6178500
2017-05-11,86.610001,86.629997,85.879997,86.169998,80.761124,6064700
2017-05-12,86.239998,86.320000,85.919998,86.190002,80.779877,5892400
2017-05-15,86.650002,86.709999,86.250000,86.330002,80.911087,5820700
2017-05-16,86.879997,87.000000,86.190002,86.239998,80.826729,6554500
2017-05-17,86.239998,86.629997,85.930000,86.260002,80.845482,7805800
2017-05-18,86.180000,86.220001,85.519997,85.870003,80.479965,6985600
